Tenor,Termination,Par_rate_%,DF,Zero_cc,Zero_annual
1W,2025-11-25,3.984739560793535,0.9987836524861511,0.03983196648752075,0.040635897795133546
2W,2025-12-02,3.975849048825203,0.9980144270190363,0.03975093688521867,0.04055157889840344
3W,2025-12-09,3.984225918537569,0.9972398037914461,0.039801781070477944,0.04060448624065671
1M,2025-12-18,3.975122526925438,0.9962573164332098,0.039702758098977865,0.04050144759395358
2M,2026-01-20,3.935190187179054,0.9927210646809244,0.039253733880213144,0.04003434212300694
3M,2026-02-18,3.892052455176908,0.9897134776592009,0.03877422843149427,0.03953575953519106
4M,2026-03-18,3.867591985927203,0.9868352666221227,0.03847400302339627,0.03922371133229552
5M,2026-04-20,3.835763127626731,0.9835241169599089,0.03809377808696927,0.0388286476740074
6M,2026-05-18,3.804537280186477,0.980796484437881,0.03773247215131915,0.03845338051468783
7M,2026-06-18,3.778574908963665,0.9777999006246456,0.037417050781953995,0.038125881780149085
8M,2026-07-20,3.746414434361187,0.9748049187057762,0.037042129425963674,0.037736739170359135
9M,2026-08-18,3.712179152833134,0.9721897075822816,0.03665543543688107,0.03733553018862201
10M,2026-09-18,3.682353730107529,0.9694131988002999,0.03630896910118655,0.036976190601721415
11M,2026-10-19,3.652742754212103,0.9666986591263722,0.03596650255790334,0.03662112175332988
12M,2026-11-18,3.620800703553158,0.9641622600406945,0.03560554047946113,0.03624700836310035
13M,2026-12-18,3.5874627466365,0.9616028611050214,0.035326682568560336,0.03595808297360836
14M,2027-01-19,3.554498923394162,0.9589189199610582,0.03503840250993422,0.03565947995942986
15M,2027-02-18,3.523906348867984,0.9564714557754876,0.034753925920310895,0.03536490098495748
16M,2027-03-18,3.502238581318692,0.954156297378306,0.0345480642134355,0.03515178093658289
17M,2027-04-19,3.481275202495451,0.9515129924570401,0.03434298953227824,0.034939519280647646
18M,2027-05-18,3.463111773765695,0.9491533156294465,0.034157414284283844,0.03474747794230848
19M,2027-06-18,3.446864009326991,0.9466275405402297,0.03398596281441201,0.03457008417391494
20M,2027-07-19,3.433218673778613,0.9441009837105625,0.03383655546371286,0.03441552334507536
21M,2027-08-18,3.420214268679024,0.9416871241680344,0.03369095300493733,0.03426492086579236
22M,2027-09-20,3.410306032564991,0.9389939825106344,0.03357131103802046,0.0341411867783894
23M,2027-10-18,3.401535814238883,0.9367408114642701,0.03346445819490733,0.034030691755860376
24M,2027-11-18,3.393884499926494,0.9342336768108,0.03336556646672744,0.033928439729784765
25M,2027-12-20,3.384572302336322,0.9315943296776512,0.0333013289167953,0.03386202483319933
26M,2028-01-18,3.376244669969496,0.92923505406095,0.033234816818351144,0.03379326278720529
27M,2028-02-18,3.369533409256507,0.9267000298800457,0.03317812219438171,0.03373465392832875
28M,2028-03-20,3.364544490631618,0.9241525664124131,0.033134326826119484,0.033689382129829415
29M,2028-04-18,3.360439078944859,0.9217747292659386,0.033096601472320755,0.03365038656773578
30M,2028-05-18,3.357433430865277,0.9193119830253458,0.03306408730425559,0.03361677883171299
31M,2028-06-20,3.355478186656732,0.9165875458654343,0.033040221236917446,0.033592110758433824
32M,2028-07-18,3.354351646238743,0.9142807777807742,0.03302182280691401,0.03357309446126733
33M,2028-08-18,3.353965421898837,0.911719858384495,0.03300803889966413,0.03355884788378427
34M,2028-09-18,3.354285973822856,0.909154841739539,0.032999372753503294,0.03354989095055383
35M,2028-10-18,3.355278967889451,0.9066668327722671,0.03299614691860158,0.033546556894620494
3Y,2028-11-20,3.35669954030989,0.9039327775084076,0.032994647646584156,0.03354500732835075
4Y,2029-11-19,3.376356352638606,0.8735509245235418,0.03319780805977147,0.033755004089879304
5Y,2030-11-18,3.41771746607976,0.842880018869595,0.0336257031108645,0.03419743739093151
6Y,2031-11-18,3.472967361876702,0.8117634012184304,0.03420350308521772,0.034795169311846896
7Y,2032-11-18,3.533478318242106,0.780453891691451,0.034844459899578156,0.03545864093269846
8Y,2033-11-18,3.593498578631888,0.7494267232875343,0.03548900346036456,0.036126254261996005
9Y,2034-11-20,3.652220082160324,0.7185848703607485,0.03612806716866858,0.03678861657163024
10Y,2035-11-19,3.707331620664832,0.6885352594116058,0.03673720264458485,0.03742035368622054
11Y,2036-11-18,3.759901785469416,0.6590030518492993,0.037327140936210326,0.038032548238120745
12Y,2037-11-18,3.812650845928333,0.6298768071892635,0.037930970647426517,0.038659532408741315
13Y,2038-11-18,3.860079481574694,0.6017272130877973,0.03848114172540817,0.03923113006717438
14Y,2039-11-18,3.901357237452322,0.5747380641268259,0.038964767978233596,0.03973385107916938
15Y,2040-11-19,3.937169675131015,0.5488108578573716,0.0393874016219242,0.040173370456415114
16Y,2041-11-18,3.96779853986987,0.5242713049846167,0.03975180396322686,0.04055248113818499
17Y,2042-11-18,3.992833693575423,0.5009910191615414,0.04004831118589329,0.04086105820981034
18Y,2043-11-18,4.013771161859136,0.478888326749949,0.04029547353938213,0.04111835167393174
19Y,2044-11-18,4.031390247621373,0.45783747207669706,0.040502126732588975,0.04133352433810478
20Y,2045-11-20,4.041225124199217,0.4384526386561952,0.04059926863990294,0.04143468637626602
21Y,2046-11-19,4.045085857170623,0.42070949173920574,0.04061141129264711,0.041447332232795286
22Y,2047-11-18,4.048100145699763,0.40375227860438156,0.0406149214963608,0.04145098793150459
23Y,2048-11-18,4.050431398249937,0.3874540635068134,0.04061116881400311,0.04144707970408912
24Y,2049-11-18,4.05182468582502,0.3719628693201362,0.04059590052504572,0.041431178710533034
25Y,2050-11-18,4.052332726643986,0.3572078701377091,0.04056896147240138,0.04140312391907086
26Y,2051-11-20,4.050380824771032,0.34334025580160316,0.04050220971125222,0.04133361074657205
27Y,2052-11-18,4.045103646618029,0.3306705655245319,0.040379866311805214,0.04120621824564963
28Y,2053-11-18,4.037727037324389,0.3188376277112425,0.04022152199555995,0.04104136221130372
29Y,2054-11-18,4.02919602643141,0.30770547557285566,0.04004344965953244,0.04085599804863804
30Y,2055-11-18,4.02091981675453,0.2970179927229495,0.03987104477365591,0.04067656485710458
31Y,2056-11-20,4.011908525929991,0.2868292421031494,0.039685105269195525,0.04048307996113176
32Y,2057-11-19,4.001210295235374,0.27750276148833125,0.039467440522783684,0.04025662812157127
33Y,2058-11-18,3.989594008966639,0.26875732095186,0.03923204157731316,0.04001178162772656
34Y,2059-11-18,3.977797376957691,0.26041527468946857,0.0389930748873201,0.039763283147329576
35Y,2060-11-18,3.966567587917745,0.2523265712665729,0.03876534255397425,0.03952652238879417
36Y,2061-11-18,3.955996081884029,0.2445109857550261,0.03855076516709134,0.03930348743400924
37Y,2062-11-20,3.945554562367582,0.23697197193268194,0.03833822680636453,0.039082619046826306
38Y,2063-11-19,3.935033651143806,0.22985962652683717,0.0381232448356492,0.03885925902769638
39Y,2064-11-18,3.924413751921513,0.2230612156469742,0.037905204070704884,0.038632770053000476
40Y,2065-11-18,3.913465028297078,0.21663173687423845,0.03767895959943174,0.0383978117111079
41Y,2066-11-18,3.902497634006397,0.21049719665898703,0.03745122235488604,0.03816135678054566
42Y,2067-11-18,3.891728209319586,0.20460163465324932,0.03722683504666473,0.03792843268178148
43Y,2068-11-19,3.881059739865441,0.19891062853146876,0.03700362019457271,0.03769677749559919
44Y,2069-11-18,3.870339637532664,0.19354766256395903,0.036777812275341305,0.037462483799161284
45Y,2070-11-18,3.859248324956665,0.18848212113038562,0.03654201732935263,0.03721788422763339
46Y,2071-11-18,3.847796153864838,0.18372121076474848,0.036296393843426325,0.03696315044082521
47Y,2072-11-18,3.835870344442581,0.17925902115407252,0.036038230183319926,0.036695478791545
48Y,2073-11-20,3.823154198009034,0.17515139623645343,0.035759929340593515,0.036407005709159446
49Y,2074-11-19,3.809541135264062,0.17148112401412618,0.03545869454233243,0.036094850872188555
50Y,2075-11-18,3.794815021737483,0.16822672244108966,0.035129714309486956,0.03575405220798422
